MENSAJES;POLARIDAD
Por favor pongamos en la portada algo que tenga relación con la asignatura.;Neutro
Buenas tardes, que tal esta imagen. Compañero alguna sugerencia.;Positivo
A mi me gusta, esperemos haber que dicen sus compañeros de equipo.;Positivo
Buenos días a todos, comparto una posible solución del problema 5.13 del texto básico.;Positivo
¡Rodolfo, muy buenos días! Gracias por compartirnos la tarea... esperemos a ver que dicen sus colegas de equipo.;Positivo
¿Que es un PLE?;Neutro
compañero me parece muy interesante su trabajo;Positivo
Aun no logro terminar mi trabajo, cuando este listo lo subo compañeros;Positivo
Que les parece compañeros si nos comunicamos en la noche para ir haciendo el grupal de una vez;Positivo
Si les parece mejor mañana en la tarde o noche, todavia falta que Ruben suba su trabajo. Hay que fijar una hora que todos podamos conectarnos.;Neutro
Compañeros buenos días por favor vamos terminando el Pea para poder hacer el grupal se nos termina el tiempo y tenemos que hacer otros trabajos también;Positivo
Jjjj el PLE dusculpen;Positivo
Bueno compañeros nos podremos comunicar en la noche el 27 digan que si ya que en fechas anteriores a mi se me dificulta no se a ustedes;Neutro
El 27 en la noche esta bien, no se si los demas puedan;Neutro
Bueno entonces pongan fecha por favor;Neutro
si el 27 en la noche estaría bien;Neutro
esta bien compañeros quedemos para el 27;Neutro
La fecha ya esta. Les parece si lo hacemos de 7 a 8pm;Neutro
Compañeros se les olvido el chat, quedamos el 27 en la noche y no hay nadie conectado.Por favor mas seriedad hay que presentar el trabajo el 30 y creo que todos tenemos otras obligaciones entre semana. Fijen una nueva fecha y hora.;Negativo
Hola. Si hoy hay disculpen como pensé que nos comunicaremos más tarde jjj;Neutro
Buenas noches compañeros;Positivo
Compañeros aqui un resumen de nuestros trabajos. Opinen por favor;Positivo
Red personal de aprendizaje (Personal Learning Environment), Es la manera de aprender de cada persona, es una actitud pro-activa para mejorar como profesionales a tomar las decisiones sobre su aprendizaje, que se aprende, como se aprende, con quien aprendo y en qué forma puedo aprender es decir, es el conjunto de actividades personales o grupales, fuentes de información, herramientas, aplicaciones o servicios web a los que una persona recurre o que utiliza como medio de aprendizaje dentro de su entorno personal. Cabe recalcar que un Ple no se trata de una aplicación o un software, de una plataforma ni nada por el estilo, un Ple es un modelo de aprendizaje, es un enfoque distinto como si se tratase de un cambio de paradigma;Positivo
Esta una parte de cada una de nuestra opiniones me parece un buen concepto;Positivo
Según entiendo debemos también poner la imagen;Neutro
A mi forma de ver las imágenes puestas por usted y Maycol representan de mejor manera las herramientas que se utilizan para la utilizar los PLEs;Positivo
Considero que su criterio en cuanto a lo que es un PLE esta muy bien, esta muy claro y es que todas las personas de una u otra forma tenemos o hacemos uso de un PLE.;Positivo
y por lo general coincidimos;Positivo
Es un concepto bastante completo que agrupa los aportes de cada uno y define facilmente lo que es un PLE. Esta bien;Positivo
Ruben Salinas ha subido un archivo.;Positivo
Queda a consideración de los demás compañeros revisar lo que hemos publicado y comentar;Positivo
Es esto justo un PLE ya que cada quien nos ajustamos a nuestro tiempo para poder estudiar;Positivo
A mi parecer cualquiera de las 2 estarían bien ya que en ambas se muestra la mayoría de herramientas que utilizamos.;Positivo
